GroupName,Description
Московский Кремль и Красная площадь,"Геолокация: 55°45′06″ с.ш. 37°37′04″ в.д. Самые узнаваемые и посещаемые места в российской столице. Красные башни Кремля, увенчанные звездами – это устоявшийся бренд, символ Москвы, шедевр мировой архитектуры. Первые упоминания относятся к 1156 году. С XII столетия Кремль служил оборонительным сооружением, в течение веков он неоднократно горел и перестраивался. Красная площадь не раз становилась местом важных государственных событий. На ней проходили народные собрания, ярмарки, парады, в том числе парад Победы (24 июня 1945 года), разные культурно-развлекательные мероприятия."
Храм Василия Блаженного,"Геолокация: 55°45′09″ с.ш. 37°37′23″ в.д. Первое упоминание относится к 1554 году. Считается, что строительство храма велось в период с 1555 по 1561 годы. Собор был заложен по приказу Ивана Грозного как благодарность Господу за помощь при взятии Казани. Изначально у здания были золотые купола и стены красно-белого цвета. После пожара в XVIII века в результате реставрации храм разукрасили в яркие цвета и сейчас он возвышается над Красной площадью как разноцветный пряник. Название было дано в честь юродивого Василия Блаженного, который собрал часть денег на строительство храма и передал их Ивану Грозному. Архитектурный стиль - шатровое зодчество. В 2008 году собор вошёл в семёрку «чудес света» России. Храм находится в совместном пользовании Государственного исторического музея и Русской Православной церкви. Интересный факт: на конец 2018 года храм состоит из одиннадцати церквей."
Парк «Зарядье»,"Геолокация: 55°45′05″ с.ш. 37°37′44″ в.д. Общественное пространство в одноименном историческом районе столицы; занимает около 13 га между Китайгородским проездом, улицей Варваркой и Москворецкой набережной. Строительство велось в 2014-2017 годах, после сноса гостиницы «Россия» и одноимённого концертного зала, расположенных на этом месте. В парке представлено 4 ландшафтные зоны России. Общее количество высаженных деревьев – 752, кустарников – около 7 тысяч. В разных частях «Зарядья» встречаются зоны с искусственным микроклиматом. В 2018 году на территории парка открылся концертный зал."
Москва-Сити,"Геолокация: 55°44′48″ с.ш. 37°32′13″ в.д. Деловой квартал столицы, состоящий из современных небоскребов футуристического дизайна. Проект является уникальным как для России, так и для всей Восточной Европы. На территории ""Москва-сити"" расположено 14 объектов, в том числе самая высокая башня комплекса «Федерация» - достигает в высоту 235 метров, другим сооружениям тоже присвоены собственные имена. Москва-Сити прозвали «Московским Манхеттеном», квартал задумывался как российский аналог лондонского и нью-йоркского деловых районов. Даты строительства - 1996-2024 гг. Архитектурный стил: постмодернизм. В шаговой доступности на территории квартала расположены четыре станции метро: Выставочная, Международная, Деловой центр и Шелепиха. На территории квартала открыт ТЦ АФИМОЛЛ Сити, Музей метрополитена, Музей Москва-Сити. В ТЦ АФИМОЛЛ Сити работает Город Игрушек, Парк Виртуальной реальности, Panorama360 (Москва с высоты 89 этажа. Panorama360 является рекордсменом Книги Рекордов России: расположенные на ее территории фабрики шоколада и мороженого являются самыми высокими в мире), Детский мир, Парк развлечений Космик и бесчетное количество питейных и едальных заведений на любой вкус: Додо Пицца, #FARШ, МореМяса, DreamCoffee, ОбедБуфет, ЗеленаяТочка, ПраймБифБар и многое другое."
Храм Христа Спасителя,"Геолокация: 55°44′40″ с.ш. 37°36′20″ в.д. Кафедральный собор Русской православной церкви, расположенный в Москве на улице Волхонке. Здесь проводит богослужения Патриарх Русской православной церкви. Храм был построен в честь победы в Отечественной войне 1812 года по проекту Константина Тона, работы длились больше сорока лет. Во времена СССР здание взорвали, а на его месте планировалось создание Дворца советов, но позже проект изменили и был построен бассейн «Москва» просуществовавший до 1990-х годов ХХ века. Собор был заново отстроен в 1994-1997 гг. и сейчас имеет максимальное внешнее сходство с оригиналом."
Новодевичий монастырь,"Геолокация: 55°43′33″ с.ш. 37°33′23″ в.д. Старейший женский монастырь столицы. Согласно преданию, стоит на месте, где во времена владычества Золотой Орды отбирали девушек для отправки в рабство. Обитель основана в 1524 году Василием III. Впоследствии постриг в монастыре принимали многие царские особы, а также девушки из княжеских и боярских семейств. Многие попадали сюда не по своей воле. В архитектурном плане монастырь является настоящей крепостью с мощными стенами. Находится в совместном ведении Русской православной церкви и Государственного исторического музея. С 2010 года здесь действует церковный музей Московской епархии."
Церковь Вознесения в Коломенском,"Геолокация: 55°40′02″ с.ш. 37°40′15″ в.д. Храм XVI века на берегу Москвы-реки на территории паркового комплекса в Коломенском. Предположительно, в строительстве здания принимал участие итальянский архитектор Петрок Малый. Церковь является одним из первых образцов каменных шатровых храмов на территории Руси. Сооружение построено в виде равноконечного креста с 62-х метровой колокольной башней. Архитектура храма считается уникальной. Здание входит в комплекс музея-заповедника «Коломенское»; Всемирное наследие ЮНЕСКО (с 1994 года). Здесь происходили съемки фильма ""Гардемарины, вперед!"". Нижняя часть церкви и её красивые лестницы-входы были прекрасно показаны во второй серии сериала «Гардемарины, вперёд!», где музей-заповедник Коломенское был изображён как монастырь игуменьи Леонидии — тёти Анастасии Ягужинской."
Собор Непорочного Зачатия Пресвятой Девы Марии,"Геолокация: 55°46′02″ с.ш. 37°34′17″ в.д. Главный католический собор Москвы, построенный в неоготическом стиле на средства польской общины. Основные здания возвели в начале XX века по проекту Ф. О. Богдановича-Дворжецкого. Собор представляет собой типичный образец архитектуры католических церквей – стрельчатые арки, устремленные ввысь фигурные башни, цветные витражи окон. В храме постоянно проводятся концерты органной музыки и другие культурные мероприятия. Третий по счёту московский католический храм, построенный до революции 1917 года, один из трёх действующих в настоящее время католических храмов Москвы наряду с храмом святого Людовика и храмом святой Ольги. Дата основания	1899 год. Строительство проводилось в период 1901-1911 годы."
Музей-заповедник Царицыно,"Геолокация: 55°36′55″ с.ш. 37°40′55″ в.д. Дворцово-парковый ансамбль, занимающий площадь больше 100 Га, располагается на юге столицы. Все постройки созданы в XVIII веке в архитектурном стиле «псевдоготика» или «русская готика». Раньше ансамбль выполнял функции царской резиденции. В наши дни на территории парка размещаются выставки, музеи, концертные залы, оранжереи. Благодаря красивому пейзажу, ансамбль Царицыно стал популярным местом для свадебных фотосессий. В корпусах музея и на открытых площадках проводятся концертные программы."
Кремль в Измайлово,"Геолокация: 55°47′39″ с.ш. 37°44′56″ в.д. Достопримечательность Нового времени в духе русской архитектуры XVII века, стилизованная резиденция царя Алексея Михайловича. Ансамбль строился по старинным эскизам и чертежам. Кремль появился в 2007 году около станции метро Партизанская. На территории действуют ремесленные лавки, музеи, трактиры, церковь. Кремль был создан по проекту А. Ф. Ушакова как аттракцион для привлечения туристов. Кремль в Измайлове состоит из девяти музеев и выставочных площадок: музея русской народной игрушки, музея основания русского флота, музея истории русской водки, музея хлеба, музея миниатюр «Всемирная история в пластилине», клуба — музея — лектория «Традиционные маски и фигуры мира», Московского музея анимации, выставки «Япония. Куклы, сказки, легенды», а также интерактивного музея занимательных устройств «Дедушкин чердак». Культурно-развлекательный комплекс построен в период 1998-2007 гг."
Усадьба Кусково,"Геолокация: 55°44′07″ с.ш. 37°48′26″ в.д. Особняк XVIII века, принадлежавший графской фамилии Шереметьевых. Великолепная усадьба, окруженная ландшафтным парком, использовалась для пышных приемов, балов, гуляний и театрализованных представлений. В музее на территории комплекса выставляется одна из крупнейших в мире коллекций керамики. В Кусково постоянно проводятся выставки, концерты, гулянья в старых русских традициях. Ансамбль включает дворец, построенный во второй половине XVIII века в стиле классицизма; регулярный, украшенный скульптурой парк с павильонами: «Грот», «Оранжерея» (проекты крепостного архитектора Фёдора Аргунова, вторая половина XVIII в.), «Эрмитаж» (вторая половина XVIII в.), «Итальянский» (XVIII в.) и «Голландский» (XVIII в.) домики; церковь Спаса Всемилостивого (XVIII в.); Музей керамики. Период строительства комплекса: 1756-1767 гг. "
Крутицкое подворье,"Геолокация: 55°43′39″ с.ш. 37°39′30″ в.д. Архитектурный памятник XVII века в Таганском районе столицы. С 1991 года выполняет функции патриаршего подворья. Здесь же располагается Отдел по делам молодежи Русской православной церкви. История места началась в XIII веке. Сначала тут располагался монастырь, а затем резиденция высших духовных лиц. Крутицкое подворье – это место, где можно представить, как выглядела Москва в прошлые столетия. Период строительства: 1667-1727 гг."
Большой театр,"Геолокация: Один из крупнейших в России и один из самых значительных в мире театров оперы и балета. Основная оперная сцена страны. Театр был построен в 1825 году, но в 1853 году здание сгорело. Уже через три года Большой отстроили заново. Масштабные реконструкции проводились в 1886—1893 гг., в 1958 и в 2005-2011 гг. Монументальное здание театра украшено массивными колоннами, внутреннее убранство поражает роскошью. Отдельного внимания заслуживает хрустальная люстра в главном зрительном зале. В марте 2020 года, на фоне карантина, вызванного пандемией коронавируса, Большой театр начал серию онлайн-трансляций ранее записанных спектаклей «золотого фонда» на своем официальном YouTube-канале. В сентябре 2020 года YouTube-канал Большого театра первым из российских театров получил «Серебряную кнопку» YouTube"
Исторический музей,"Геолокация: 55°45′19″ с.ш. 37°37′03″ в.д. Находится на Красной площади и является одним из главных столичных музеев. В бесчисленных залах выставлены коллекции, охватывающие все эпохи в российской истории с древнейших времен и до XX столетия. Также представлены обширные экспозиции, касающиеся истории других государств. Музей возник по указу Александра II в 1872 году. В 1990 году здание внесено в список наследия ЮНЕСКО как часть ансамбля Красной площади Основан в 1872 году, здание на Красной площади Москвы было построено в 1875—1883 годах по проекту архитектора Владимира Шервуда и инженера Анатолия Семёнова."
Цирк на Цветном бульваре,"Геолокация: 55°46′14″ с.ш. 37°37′11″ в.д. Цирк один из старейших стационарных цирков в России, расположен на Цветном бульваре в Москве. Вместимость зала — 2000 мест, высота купола — 25 метров, диаметр манежа — 13 метров. Цирк построили в 1880 году на деньги купца Данилова. С самого открытия администрация старалась приглашать только лучшие коллективы и привлекать на представления больше посетителей. В 1996 году в честь 75-я артиста Ю. Никулина цирку было присвоено название «Московский цирк Никулина на Цветном бульваре». Зрительный зал рассчитан на 2000 человек, во время представлений используется современное оборудование. Ближайшие станции метро: Цветной бульвар и Трубная - в шаговой доступности."
Музей изобразительных искусств имени Пушкина,"Геолокация: 55°44′50″ с.ш. 37°36′18″ в.д. Московский музей зарубежного искусства, основанный профессором Московского университета Иваном Цветаевым в 1912 году как «Музей изящных искусств имени императора Александра III при Императорском Московском университете». Музейная галерея была открыта в 1913 году, основу коллекции составили экспонаты из собрания Кабинета изящных искусств и древностей Московского университета. Позже были приобретены оригинальные образцы культуры Древнего Египта. В течение XX века музей развивался и расширялся, сейчас в нем содержится около 700 экспонатов. В залах постоянно проходят разные выставки известных на весь мир авторов. В 2018 году музей посетили 1,3 млн человек, благодаря чему он занял 47-е место в числе самых посещаемых художественных музеев мира"
Спорткомплекс Лужники,"Геолокация: 55°42′57″ с.ш. 37°33′13″ в.д. «Олимпийский комплекс „Лужники“» (до 1992 года — «Центральный стадион имени В. И. Ленина») — крупнейший спортивно-развлекательный комплекс в России и Европе. Расположен в Москве, в районе Хамовники (Центральный административный округ). Открыт в 50-х годах прошлого века, многократно перестраивался. Площадь превышает 180 га. Принимал некоторые мероприятия Олимпиады-80. В 90-х превратился в огромный вещевой рынок, который ликвидировали к 2003 году. Сейчас комплекс стоит из десятков объектов, включая спортивную арену на 78 тысяч мест, футбольные поля, теннисные корты, бассейны и академию гольфа. На «Лужниках» играли финальный матч футбольного ЧМ-2018. Под трибуной «С» Большой спортивной арены расположен музей спорта, основанный в 1957 году к открытию VI Всемирного фестиваля молодёжи и студентов. Посещения музея является частью экскурсионной программы по Олимпийскому комплексу."
Зоопарк,"Геолокация: Один из самых старых в Европе, принимает посетителей с 1864 года. В настоящее время в зоопарке содержатся порядка 6 тысяч особей. Они представляют более тысячи видов животных. Территория разбита по тематикам. Есть, как открытые экспозиции и вольеры, так и закрытые. Любой желающий может оформить опекунство понравившегося животного, финансировать его содержание и получить ряд привилегий. Живой символ зоопарка — жираф Самсон. Часы работы: 09:00 - 17:00. (Кассы открыты до 16:00)."
Останкинская телебашня,"Геолокация: 55°49′11″ с.ш. 37°36′42″ в.д. Телевизионная вышка, еще один важный символ столицы. Башня обеспечивает телетрансляцию на всю Россию, здесь располагаются телестудии и офисы основных каналов. В высоту сооружение достигает 540 метров. Останкинскую башню построили в период 1963-1967 гг., в те времена она считалась самым высоким зданием в Европе. Для посетителей существуют специальные экскурсии на вышку с посещением смотровой площадки. По состоянию на сентябрь 2019 года — 14-е по высоте сооружение из когда-либо существовавших. Телебашня — высочайшее сооружение в Европе и России, член-учредитель Международной федерации великих башен."
Триумфальная Арка,"Геолокация: 55°44′12″ с.ш. 37°31′11″ в.д. Арочные ворота на Кутузовском проспекте, воздвигнутые в честь победы в Отечественной войне 1812 года. Сооружение было построено по проекту архитектора Бове в 1829-1834 гг., позже в 1936 г. арка была демонтирована. Реконструированные ворота вновь появились на проспекте только 1968 г. Надпись на верхней части старой конструкции прославляла деяния Александра I на русском языке и на латыни, новая надпись увековечила подвиг русских воинов в 1812 года. Построены по проекту: архитектор О. И. Бове, скульпторы И. П. Витали, И. Т. Тимофеев; восстановлены по проекту В. Я. Либсона. В шаговой доступности метро ""Парк Победы"" и исторический мемориальный комплекс ""Парк Победы на Поклонной горе"""
Сталинские Высотки,"Геолокация: Семь высотных домов, построенные в стиле помпезного «сталинского ампира» в середине XX века. Эти уникальные сооружения по задумке вождя должны были символизировать мощь и величие Москвы и всего СССР. В зданиях располагается университет МГУ, МИД, гостиницы, жилые квартиры. В советские времена жилье в этих элитных домах распределялось только крупным ученым и государственным деятелям. Период строительства: 1947-1957 гг. В проекте предполагалось строительство 9 высотных домов, но построены были только семь: 1 — здание МГУ, 2 — гостиница «Украина», 3 — жилое здание на Кудринской площади, 4 — здание МИД СССР, 5 — Дворец Советов (не построен), 6 — административное здание в Зарядье (не построено), 7 — гостиница «Ленинградская», 8 — административно-жилое здание на пл. Красных Ворот, 9 — жилое здание на Котельнической набережной"
ГУМ,"Геолокация: 55°45′17″ с.ш. 37°37′18″ в.д. ГУМ (аббревиатура от «Государственный универсальный магазин», до 1921 года[2] — Верхние торговые ряды) — крупный торговый комплекс (универсальный магазин) в центре Москвы, который занимает местность Китай-города и выходит главным фасадом на Красную площадь. Позиционирует себя как главный универсальный магазин страны и целый торговый квартал. Находится на Красной площади и является одной из ее главных достопримечательностей. История здания началась в XIX веке с открытия торговых рядов. В течение XX столетия ГУМ постепенно становится главным и самым вожделенным магазином страны – все командировочные стремятся в него попасть, чтобы приобрести дефицитные товары. В наше время ГУМ – это территория дорогих бутиков, исторических магазинов и авторских шоу-румов. Ближайшие станции метро: Театральная, Площадь Революции, Охотный ряд."